drug_id,drug_name,target_gene,target_pathway
206,Ruxolitinib,"JAK1, JAK2","Other, kinases"
207,As601245,"JNK1, JNK2, JNK2",JNK and p38 signaling
208,Ispinesib Mesylate,KSP,Mitosis
211,Tl-2-105,not defined,Other
219,At-7519,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
221,Tak-715,"p38alpha, p38beta",JNK and p38 signaling
222,Bx-912,PDK1 (PDPK1),Metabolism
223,Zstk474,PI3K (class 1),PI3K/MTOR signaling
224,As605240,PI3Kgamma,PI3K/MTOR signaling
225,Genentech Cpd 10,"AURKA, AURKB",Mitosis
226,Gsk1070916,"AURKA, AURKC",Mitosis
228,Akt Inhibitor Viii,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
229,Enzastaurin,PKCB,"Other, kinases"
230,Gsk429286A,"ROCK1, ROCK2",Cytoskeleton
231,Fmk,RSK,"Other, kinases"
235,Ql-Xii-47,"BTK, BMX","Other, kinases"
236,Ic-87114,PI3Kdelta,PI3K/MTOR signaling
238,Idelalisib,PI3Kdelta,PI3K/MTOR signaling
245,Unc0638,G9a and GLP methyltransferases,Chromatin histone methylation
249,Cabozantinib,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",RTK signaling
252,Wz3105,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",Other
253,Xmd14-99,"ALK, CDK7, LTK, others","Other, kinases"
254,Quizartinib,FLT3,RTK signaling
255,Cp724714,ERBB2,EGFR signaling
256,Jw-7-24-1,LCK,"Other, kinases"
257,Npk76-Ii-72-1,PLK3,Cell cycle
258,Stf-62247,Autophagy inducer,Other
260,Ng-25,"TAK1, M4K2","Other, kinases"
261,Tl-1-85,"TAK1, MAP4K2","Other, kinases"
262,Vx-11E,ERK2,ERK MAPK signaling
263,Fr-180204,"ERK1, ERK2",ERK MAPK signaling
264,Acy-1215,HDAC6,Chromatin histone acetylation
265,Tubastatin A,"HDAC1, HDAC6, HDAC8",Chromatin histone acetylation
266,Zibotentan,Endothelin-1 receptor (EDNRA),Other
268,Sepantronium Bromide,BIRC5,Apoptosis regulation
269,Nsc-207895,MDM4,p53 pathway
271,Vnlg/124,"HDAC,RAR",Chromatin histone acetylation
272,Ar-42,HDAC1,Chromatin histone acetylation
273,Cudc-101,"HDAC1-10, EGFR, ERBB2",Other
274,Belinostat,HDAC1,Chromatin histone acetylation
275,I-Bet-762,"BRD2, BRD3, BRD4",Chromatin other
276,Cay10603,"HDAC1, HDAC6",Chromatin histone acetylation
277,Linifanib,"VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",RTK signaling
279,Bix02189,"MEK5, ERK5",ERK MAPK signaling
281,Alectinib,ALK,RTK signaling
282,Pelitinib,EGFR,EGFR signaling
283,Omipalisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling
284,Jnj38877605,MET,RTK signaling
285,Su11274,MET,RTK signaling
286,Kin001-236,"HDAC6, HDAC10",Chromatin histone acetylation
287,Kin001-244,PDK1,"Other, kinases"
288,Whi-P97,JAK3,"Other, kinases"
289,Kin001-042,GSK3B,WNT signaling
290,Kin001-260,CDC7,DNA replication
291,Kin001-266,CDC7,DNA replication
292,Masitinib,"KIT, PDGFRA, PDGFRB",RTK signaling
293,Amuvatinib,"KIT, PDGFRA, FLT3",RTK signaling
294,Mps-1-In-1,MPS1,Mitosis
295,Nvp-Bhg712,"EPHB4, RAF, SRC, ABL","Other, kinases"
298,Osi-930,"KIT, VEGFR2",RTK signaling
299,Osi-027,"MTORC1, MTORC2",PI3K/MTOR signaling
300,Cx-5461,RNA Polymerase 1,Other
301,Pha-793887,"CDK2, CDK7, CDK5",Cell cycle
302,Pi-103,"PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2","Other, kinases"
303,Pik-93,PK3CG,PI3K/MTOR signaling
304,Sb52334,ALK5,RTK signaling
